arrival_time,event_time,updateId
1692440163579.5356,1692440162906,3180680178892
1692440163593.046,1692440162919,3180680179228
1692440163595.0503,1692440162919,3180680179235
1692440163600.0503,1692440162933,3180680179821
1692440163602.05,1692440162937,3180680179968
1692440163615.0508,1692440162949,3180680180357
1692440163617.0508,1692440162955,3180680180467
1692440163623.051,1692440162963,3180680180764
1692440163631.0522,1692440162968,3180680180859
1692440163649.0532,1692440162978,3180680181148
1692440163651.0547,1692440162978,3180680181167
1692440163654.054,1692440162990,3180680181418
1692440163657.0547,1692440162992,3180680181508
1692440163673.056,1692440163000,3180680181720
1692440163675.0552,1692440163004,3180680181807
1692440163844.914,1692440163185,3180680187060
1692440163852.9744,1692440163193,3180680187271
1692440164175.5344,1692440163515,3180680197350
1692440164177.5342,1692440163515,3180680197367
1692440164184.055,1692440163524,3180680197560
1692440164191.2512,1692440163531,3180680197690
1692440164199.1526,1692440163540,3180680198104
1692440164200.133,1692440163540,3180680198122
1692440164356.086,1692440163696,3180680201638
1692440164467.1968,1692440163805,3180680204469
1692440164478.0654,1692440163815,3180680205043
1692440164569.331,1692440163908,3180680207121
1692440164719.526,1692440164060,3180680211067
1692440164722.528,1692440164061,3180680211163
1692440164732.5266,1692440164070,3180680211376
1692440164734.5264,1692440164072,3180680211417
1692440164745.5273,1692440164083,3180680211673
1692440164747.5276,1692440164086,3180680211740
1692440164754.5286,1692440164093,3180680211914
1692440164764.5303,1692440164097,3180680212000
1692440164767.5298,1692440164101,3180680212100
1692440164768.5308,1692440164103,3180680212162
1692440164786.5332,1692440164114,3180680212403
1692440164786.5332,1692440164115,3180680212421
1692440164787.5352,1692440164124,3180680212606
1692440164801.0615,1692440164126,3180680212652
1692440164803.055,1692440164135,3180680212898
1692440164807.0557,1692440164136,3180680212909
1692440164815.7808,1692440164151,3180680213262
1692440164817.7898,1692440164151,3180680213285
1692440164824.7847,1692440164162,3180680213479
1692440164826.7847,1692440164164,3180680213549
1692440164837.7844,1692440164174,3180680213825
1692440164846.7861,1692440164183,3180680214037
1692440164919.3057,1692440164258,3180680215627
1692440164944.3125,1692440164285,3180680216275
1692440164951.3108,1692440164290,3180680216438
1692440164985.683,1692440164325,3180680217292
1692440164986.681,1692440164327,3180680217319
1692440165162.1245,1692440164500,3180680221048
1692440165169.1355,1692440164507,3180680221189
1692440165452.412,1692440164792,3180680228536
1692440165498.3977,1692440164837,3180680230423
1692440165500.3987,1692440164839,3180680230473
1692440165502.2402,1692440164843,3180680230577
1692440165504.2449,1692440164845,3180680230833
1692440165505.2422,1692440164845,3180680230866
1692440165507.4111,1692440164847,3180680231021
